specification,term,coefficient,std_error,p_value,ci_lower_95,ci_upper_95,significant_at_05,n_observations,r_squared
pooled_hc3,log_gdp_per_capita,-0.22871194258832445,0.022865065731750144,1.4832708395904624e-23,-0.2735266479266957,-0.1838972372499532,True,2823,0.7253961096744039
pooled_hc3,female_literacy_rate,-0.016223828592858376,0.0008987150631592413,7.574201003739524e-73,-0.01798527774901413,-0.014462379436702623,True,2823,0.7253961096744039
pooled_hc3,health_expenditure_per_capita,-0.0005789903979975627,4.461781557406806e-05,1.659528234996033e-38,-0.0006664397095915865,-0.0004915410864035389,True,2823,0.7253961096744039
pooled_hc3,urban_population_pct,-0.0017936402399876894,0.0009410371664139556,0.05664697943822726,-0.0036380391942726674,5.0758714297288775e-05,False,2823,0.7253961096744039
pooled_hc3,skilled_birth_attendance,-0.01987994663999245,0.0010373026688341228,7.250165981357153e-82,-0.02191302251197461,-0.01784687076801029,True,2823,0.7253961096744039
pooled_cluster_country,log_gdp_per_capita,-0.22871194258832445,0.0738463165396397,0.001954014804526665,-0.3734480633969628,-0.08397582177968613,True,2823,0.7253961096744039
pooled_cluster_country,female_literacy_rate,-0.016223828592858376,0.0034642594464082497,2.8242721303053208e-06,-0.02301365234092121,-0.009434004844795542,True,2823,0.7253961096744039
pooled_cluster_country,health_expenditure_per_capita,-0.0005789903979975627,0.00013489017075497866,1.768240232700507e-05,-0.0008433702745457789,-0.00031461052144934643,True,2823,0.7253961096744039
pooled_cluster_country,urban_population_pct,-0.0017936402399876894,0.0035926385612486665,0.6176002475027367,-0.008835082429504874,0.005247801949529494,False,2823,0.7253961096744039
pooled_cluster_country,skilled_birth_attendance,-0.01987994663999245,0.003709881659063433,8.384744688837974e-08,-0.027151181078662483,-0.012608712201322418,True,2823,0.7253961096744039
country_fe_cluster,log_gdp_per_capita,-0.24813178394564261,0.03739237821039215,3.225459209495581e-11,-0.3214194985343115,-0.17484406935697372,True,2823,0.9849642824198807
country_fe_cluster,female_literacy_rate,-0.007061901278270315,0.004039079096307554,0.08039584239531757,-0.014978350837741709,0.0008545482812010782,False,2823,0.9849642824198807
country_fe_cluster,health_expenditure_per_capita,-0.00010628097169146836,5.421931881569922e-05,0.049971851879560825,-0.0002125488838365337,-1.3059546402993216e-08,True,2823,0.9849642824198807
country_fe_cluster,urban_population_pct,0.0002675480016775347,0.0037776831288298222,0.9435383842670375,-0.007136574875833503,0.007671670879188571,False,2823,0.9849642824198807
country_fe_cluster,skilled_birth_attendance,-0.006646349472029182,0.0016114382712535858,3.715687175686993e-05,-0.009804710446995697,-0.003487988497062668,True,2823,0.9849642824198807
country_year_fe_cluster,log_gdp_per_capita,-0.2638065493668907,0.04550990372041098,6.763880227280701e-09,-0.3530043215987816,-0.17460877713499975,True,2823,0.9863718208838953
country_year_fe_cluster,female_literacy_rate,-0.0067446429003881914,0.004102677231738322,0.10018418118456349,-0.014785742514787792,0.0012964567140114087,False,2823,0.9863718208838953
country_year_fe_cluster,health_expenditure_per_capita,-6.612072441609078e-05,5.1243498260366035e-05,0.19693812797595667,-0.00016655613544824913,3.431468661606756e-05,False,2823,0.9863718208838953
country_year_fe_cluster,urban_population_pct,0.003953482891537622,0.0038936159441033975,0.3099267869790945,-0.0036778641285359574,0.011584829911611201,False,2823,0.9863718208838953
country_year_fe_cluster,skilled_birth_attendance,-0.004914691575586008,0.0017678328183670657,0.005434788332910028,-0.008379580230273395,-0.0014498029208986204,True,2823,0.9863718208838953
